Text                     ,HR                       ,"Veloc, Vento",Pisc_scobert,Pisc_scobert_50m2,50m2_Ts_colect   ,PavCol_scobert,Pisc_ccobert_50m2
9.825,92.25,3.88125,10.91685298,12.79114374,17.26417771,10.94853933,15.09127271
10.64375,89.375,3.6375,10.91506236,12.84457601,16.8685684,10.94641651,15.10405182
11.49375,86.375,3.3375,10.95208042,13.0000521,19.1805262,10.98311993,15.23232006
12.43125,82.9375,3.78125,10.99152868,13.12236466,17.95947458,11.0222506,15.32722182
13.38125,79.4375,4.33125,11.06291374,13.32133179,20.10164419,11.09329491,15.49708267
14.24375,76.375,4.575,11.1397784,13.50127313,19.05699807,11.16980498,15.64689407
15.09375,73.375,4.775,11.23801809,13.72569907,20.27546945,11.26687828,15.84081444
15.725,71.25,4.93125,11.33971655,13.9378702,19.64839207,11.37071755,16.02219785
16.325,69.25,5.08125,11.44922389,14.15910892,19.96818127,11.48434048,16.21247566
16.575,68.125,5.0125,11.55729018,14.3682413,19.55307734,11.5981757,16.39089373
16.775,67.125,4.9125,11.65673661,14.55130001,19.06289686,11.70460913,16.54389713
16.75625,67.4375,5.03125,11.75085529,14.72150061,18.76277997,11.80653818,16.6843044
